id,detail_url,title,location,timeline_hours,area_m2,bedrooms,bathrooms,floors,frontage,price_million_vnd
196787,https://batdongsan.vn/cho-thue-nha-mat-tien-thach-lam-92m2-4tang-doi-dien-truong-hoc-gan-nga-tu-r196787,"Cho thuê nhà Mặt Tiền Thạch Lam 92m², 4TẦNG - ĐỐI DIỆN TRƯỜNG HỌC, GẦN NGÃ TƯ","Tân Phú, Hồ Chí Minh",48,92.0,5.0,5.0,5.0,True,34.0
196777,https://batdongsan.vn/thue-nha-nguyen-can-hxt-lo-goc-quan-8-4-tang-cai-tao-dc-8pn-gia-30tr-r196777,"Thuê nhà nguyên căn HXT  lô góc Quận 8, 4 tầng cải tạo đc 8PN, giá 30tr","Quận 8, Hồ Chí Minh",48,70.0,8.0,4.0,5.0,False,30.0
196689,https://batdongsan.vn/linhhk-cho-thue-nha-hoan-kiem-150m2-x-5-tang-vi-tri-trung-tam-r196689,"LinhHK cho thuê nhà Hoàn Kiếm – 150m² x 5 tầng, vị trí trung tâm","Hoàn Kiếm, Hà Nội",72,150.0,,,6.0,False,80.0
142301,https://batdongsan.vn/cho-thue-toa-nha-2-mat-tien-diep-minh-chau-160m2-5lau-r142301,Cho thuê Tòa nhà 2 Mặt tiền Diệp Minh Châu 160m2 - 5Lầu,"Tân Phú, Hồ Chí Minh",7200,160.0,10.0,9.0,6.0,True,75.0
142012,https://batdongsan.vn/10-trieuthang-cho-thue-nha-nguyen-can-3-tang-2-mat-thoang-gan-aeon-mall-r142012,🏠 10 triệu/tháng 🏠 CHO THUÊ NHÀ NGUYÊN CĂN 3 TẦNG (2 MẶT THOÁNG) GẦN AEON MALL,"Huế, Thừa Thiên Huế",7200,112.0,3.0,2.0,4.0,False,10.0
141965,https://batdongsan.vn/cho-thue-nha-mat-tien-tan-quy-64m2-2lau-ngay-nga-tu-r141965,"Cho thuê nhà Mặt tiền Tân Quý 64m2, 2Lầu - NGAY NGÃ TƯ","Tân Phú, Hồ Chí Minh",7200,64.0,4.0,3.0,3.0,True,22.0
142373,https://batdongsan.vn/7-trieuthang-cho-thue-nha-2-tang-mat-tien-le-duan-r142373,🏠 7 triệu/tháng 🆘 CHO THUÊ NHÀ 2 TẦNG MẶT TIỀN LÊ DUẨN,"Huế, Thừa Thiên Huế",7200,80.0,2.0,2.0,3.0,True,7.0
141969,https://batdongsan.vn/cho-thue-nha-mat-tien-son-ky-120m2-1lau-25trieu-gan-nga-tu-r141969,"Cho thuê nhà Mặt Tiền Sơn Kỳ 120m2, 1Lầu, 25Triệu - gần Ngã Tư","Tân Phú, Hồ Chí Minh",7200,120.0,3.0,2.0,2.0,True,25.0
141867,https://batdongsan.vn/nha-nguyen-can-4-tang-dep-duong-rong-xe-tai-xuan-thoi-thuong-hoc-mon-r141867,"Nhà Nguyên Căn 4 Tầng Đẹp, Đường Rộng Xe Tải, Xuân Thới Thượng, Hóc Môn","Hóc Môn, Hồ Chí Minh",7200,115.0,5.0,4.0,5.0,False,15.0
142298,https://batdongsan.vn/cho-thue-nha-mat-tien-doc-lap-160m2-2lau-gan-nga-tu-truong-hoc-r142298,"Cho thuê nhà Mặt tiền Độc Lập 160m2, 2Lầu - GẦN NGÃ TƯ - TRƯỜNG HỌC","Tân Phú, Hồ Chí Minh",7200,160.0,5.0,4.0,3.0,True,45.0
