id,title,location,timeline_hours,area_m2,bedrooms,bathrooms,floors,frontage,price_million_vnd
180251,"VỊ TRÍ ĐẸP - đường Hàn Thuyên, Phường Bến Nghé, Quận 1. DT: 15x22m. 2 lầu. DTSD: 660m2","Quận 1, Hồ Chí Minh",168,330.0,,,3.0,False,200.0
180252,Chính chủ cho thuê CHDV trung tâm Quận 1 - Duplex 2 phòng ngủ - máy lạnh - PCCC đã kiểm duyệt,"Quận 1, Hồ Chí Minh",168,50.0,2.0,1.0,,False,9.0
180110,Chính chủ cho thuê sàn văn phòng KV Ngoại Giao Đoàn diện tích 160m2 - 230m2 - 400m2 - 800m2,"Bắc Từ Liêm, Hà Nội",168,300.0,,,,False,216000.0
180114,Chủ nhà cho thuê CHCC 6th Element 3 ngủ 109m2 full nội thất giá 23tr/1 tháng,"Tây Hồ, Hà Nội",168,109.0,,,,False,23.0
180253,"Building góc 2 mặt tiền, ngang 10m, sử dụng 2.400m2 - số 5B Tôn Đức Thắng, Quận 1","Quận 1, Hồ Chí Minh",168,320.0,,,,True,0.0
180254,"GẤP! Cần cho thuê 2PN Masteri Centre Point Nội thất cơ bản, phù hợp gia đình trẻ, Free phí QL","Quận 9, Hồ Chí Minh",168,75.0,2.0,2.0,,False,8.0
180111,"Chính chủ cho thuê căn 03 ngủ full đồ, toà A8 An Bình City, miễn trung gian","Bắc Từ Liêm, Hà Nội",168,83.0,3.0,2.0,,False,16.5
180115,"Cho thuê CCCC 3PN - 3WC - 168m2 full nội thất siêu đẹp, tại Five Star - 162 Hoàng Hoa Thám","Tây Hồ, Hà Nội",168,168.0,3.0,3.0,,False,0.0
180255,Cho thuê căn hộ Flora Anh Đào - 2PN - 2WC giá thuê có nội thất 7.7triệu/ tháng. Nhà mới - ở liền,"Quận 9, Hồ Chí Minh",168,60.0,2.0,2.0,,False,7.7
180256,"Cho thuê căn hộ Ehomes, Đỗ Xuân Hợp, Quận 9. DT 60m gồm 2pn 2 vệ sinh đầy đủ nội thất","Quận 9, Hồ Chí Minh",168,60.0,2.0,2.0,,False,7.5
180112,Cho thuê biệt thự Cổ Nhuế làm nhà trẻ,"Bắc Từ Liêm, Hà Nội",168,450.0,5.0,5.0,,False,30.0
180116,Cho thuê văn phòng giá chỉ 200 nghìn/m2 bao gồm thuế VAT tại đường Võ Chí Công giao Hoàng Quốc Việt,"Tây Hồ, Hà Nội",168,330.0,,,,False,200000.0
180257,"chính chủ cho Thuê nhà Phố NT cao cấp 4 PN khu DC Dương Hồng Bình Hưng, Bình Chánh","Bình Chánh, Hồ Chí Minh",168,100.0,4.0,5.0,,False,22.0
180258,CẦN CHO THUÊ CĂN HỘ FLORA MIZUKI 99M2 3PN/2WC VIEW NAM THOÁNG MÁT,"Bình Chánh, Hồ Chí Minh",168,99.0,3.0,2.0,,False,12.0
180174,Nhà cho thuê 66m2 giá 5.5 triệu/tháng,"Thủ Đức, Hồ Chí Minh",168,66.0,1.0,1.0,,False,5.5
180113,"Cho thuê nhà mặt phố Phan Bội Châu - Hoàn Kiếm: DT: 230m2 x 2 tầng, mặt tiền 10m. MB siêu siêu đẹp","Hoàn Kiếm, Hà Nội",168,230.0,,,3.0,True,160.0
180117,BQL cho thuê căn hộ cao cấp 2PN Sunshine Riverside nội thất cơ bản và full giá tốt chỉ từ 10tr,"Tây Hồ, Hà Nội",168,80.0,2.0,2.0,,False,10.0
181901,"Nhà tôi cho thuê Nhà căn góc, mới, 116m2_ 4T; vỉa hè, Đội Cấn-44 Tr","Ba Đình, Hà Nội",10,116.0,,,,False,44.0
181902,"Mình cho thuê nhà mới, hai đường đi, 99m2_ 5T; vỉa hè, Thái Hà-33 Tr","Đống Đa, Hà Nội",10,99.0,,,,False,33.0
181903,"Cho thuê nhà mới, căn góc, Thái Hà, thang máy; vỉa hè 119m2* 5T- 46 Tr","Đống Đa, Hà Nội",10,119.0,,,,False,46.0
181904,"Cho thuê Nhà hàng, VP, KD, thang máy,vỉa hè, 116m2- 5T, Đào Tấn_45 Tr","Ba Đình, Hà Nội",10,116.0,,,,False,45.0
181905,"Nhà mình cho thuê nhà lô góc, mới, Mai Hắc Đế; vỉa hè 114m2* 5T- 47 Tr","Hai Bà Trưng, Hà Nội",10,114.0,,,,False,47.0
181906,"Nhà mình Cho thuê nhà mới, hai cửa đi, Đội Cấn; vỉa hè 98m2* 5T- 30 Tr","Ba Đình, Hà Nội",10,98.0,,,,False,30.0
181864,"Cho thuê nhà mới , thang máy,vỉa hè, 118m2- 4T, Trần Nhân Tông_45 Tr","Hai Bà Trưng, Hà Nội",22,118.0,,,,False,45.0
181867,"CHÍNH CHỦ CHO THUÊ NHÀ 4 TẦNG MẶT PHỐ - DƯƠNG VĂN BÉ, HAI BÀ TRƯNG, HÀ NỘI","Hai Bà Trưng, Hà Nội",22,15.0,4.0,3.0,5.0,True,17.0
181870,"CHO THUÊ NHÀ 7 TẦNG LÀM VĂN PHÒNG TẠI MẶT PHỐ QUANG TRUNG, QUẬN HÀ ĐÔNG – VỊ TRÍ ĐẮC ĐỊA","Hà Đông, Hà Nội",22,390.0,,,8.0,True,30.0
